index,First Name,Last Name,Email Address,Prefix,College Name,Degree,Field of Study,Year of Graduation,Year of Entry,Employer Name,Job Domain,Job Title,Date of birth,Club1 ,CLub2,Club3,Club4,Reason
49,Aleah,Ruiz,lorenzo94@daugherty.com,Dr,College of Business Administration,BBA,Information systems,1996,1992,Air Force Institute of Pathology,,Healthcare,2001-05-09 00:00:00,,,,,Cell(s) contains N/A value
50,Rowan,Goodman,elyssa09@yahoo.com,Mr,College of Business Administration,BBA,FINANCE,1996,1992,VNA Manchester,Nurse,Healthcare,1985-02-22 00:00:00,,,,,Wrong Format of Date of Birth
50,Rowan,Goodman,elyssa09@yahoo.com,Mr,College of Business Administration,BBA,FINANCE,1996,1992,VNA Manchester,Nurse,Healthcare,1985-02-22 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
50,Rowan,Goodman,elyssa09@yahoo.com,Mr,College of Business Administration,BBA,FINANCE,1996,1992,VNA Manchester,Nurse,Healthcare,1985-02-22 00:00:00,,,,,Cell(s) contains N/A value
50,Rowan,Goodman,elyssa09@yahoo.com,Mr,College of Business Administration,BBA,FINANCE,1996,1992,VNA Manchester,Nurse,Healthcare,1985-02-22 00:00:00,,,,,Contains duplicate Email
51,Davin,Barker,candida.damore@walker.com,Dr,College of Engineering,PHD,Environmental Science & Engineering,1996,1992,George Washington Univ. Hosp.,RN,Healthcare,1985-02-12 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
51,Davin,Barker,candida.damore@walker.com,Dr,College of Engineering,PHD,Environmental Science & Engineering,1996,1992,George Washington Univ. Hosp.,RN,Healthcare,1985-02-12 00:00:00,,,,,Wrong Format of Date of Birth
51,Davin,Barker,candida.damore@walker.com,Dr,College of Engineering,PHD,Environmental Science & Engineering,1996,1992,George Washington Univ. Hosp.,RN,Healthcare,1985-02-12 00:00:00,,,,,Cell(s) contains N/A value
52,Brooklyn,Conway,kub.kevin@yahoo.com,Mr,College of Business Administration,BBA,FINANCE,2007,2003,AAA Association,Sales Rep.,Travel Recreational,1985-02-07 00:00:00,Women's Riflery,,,,Wrong Format of Date of Birth
52,Brooklyn,Conway,kub.kevin@yahoo.com,Mr,College of Business Administration,BBA,FINANCE,2007,2003,AAA Association,Sales Rep.,Travel Recreational,1985-02-07 00:00:00,Women's Riflery,,,,Name of the Club is not listed in Sports Club sheet
52,Brooklyn,Conway,kub.kevin@yahoo.com,Mr,College of Business Administration,BBA,FINANCE,2007,2003,AAA Association,Sales Rep.,Travel Recreational,1985-02-07 00:00:00,Women's Riflery,,,,Cell(s) contains N/A value
53,Keyla,Ewing,johnathon46@yundt.com,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,1014,2010,Aetna Insurance,,Insurance,11-11-9999,,,,,Cell(s) contains N/A value
53,Keyla,Ewing,johnathon46@yundt.com,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,1014,2010,Aetna Insurance,,Insurance,11-11-9999,,,,,Name of the Club is not listed in Sports Club sheet
53,Keyla,Ewing,johnathon46@yundt.com,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,1014,2010,Aetna Insurance,,Insurance,11-11-9999,,,,,Wrong Format of Date of Birth
54,Adrienne,Conner,thelma62@koelpin,Ms,College of Business Administration,MA,ECONOMICS,2005,2001,Adams Hospital,,,1985-02-20 00:00:00,Men's Golf,,,,Name of the Club is not listed in Sports Club sheet
54,Adrienne,Conner,thelma62@koelpin,Ms,College of Business Administration,MA,ECONOMICS,2005,2001,Adams Hospital,,,1985-02-20 00:00:00,Men's Golf,,,,Cell(s) contains N/A value
54,Adrienne,Conner,thelma62@koelpin,Ms,College of Business Administration,MA,ECONOMICS,2005,2001,Adams Hospital,,,1985-02-20 00:00:00,Men's Golf,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
54,Adrienne,Conner,thelma62@koelpin,Ms,College of Business Administration,MA,ECONOMICS,2005,2001,Adams Hospital,,,1985-02-20 00:00:00,Men's Golf,,,,Wrong Format of Date of Birth
55,Craig,Park,bogan.carolyne@haag.info,Lt Col,College of Business Administration,BBA,FINANCE,2007,2003,"AfterMarket Consultants, Inc.",,,1985-02-22 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
55,Craig,Park,bogan.carolyne@haag.info,Lt Col,College of Business Administration,BBA,FINANCE,2007,2003,"AfterMarket Consultants, Inc.",,,1985-02-22 00:00:00,,,,,Wrong Format of Date of Birth
55,Craig,Park,bogan.carolyne@haag.info,Lt Col,College of Business Administration,BBA,FINANCE,2007,2003,"AfterMarket Consultants, Inc.",,,1985-02-22 00:00:00,,,,,Cell(s) contains N/A value
56,Rex,Archer,domenick05@miller.com,Dr,College of Business Administration,BBA,FINANCE,1014,2010,Holy Family School,,Education,16-03-1989,,,,,Cell(s) contains N/A value
56,Rex,Archer,domenick05@miller.com,Dr,College of Business Administration,BBA,FINANCE,1014,2010,Holy Family School,,Education,16-03-1989,,,,,Name of the Club is not listed in Sports Club sheet
57,Leah,Bernard,shakira49@hotmail.com,Mrs,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,2005,2001,"Adler, Cohen, Harvey, Wakeman & Guekguezion, LLP",Attorney,,1985-02-09 00:00:00,,,,,Cell(s) contains N/A value
57,Leah,Bernard,shakira49@hotmail.com,Mrs,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,2005,2001,"Adler, Cohen, Harvey, Wakeman & Guekguezion, LLP",Attorney,,1985-02-09 00:00:00,,,,,Wrong Format of Date of Birth
57,Leah,Bernard,shakira49@hotmail.com,Mrs,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,2005,2001,"Adler, Cohen, Harvey, Wakeman & Guekguezion, LLP",Attorney,,1985-02-09 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
58,Harper,Tapia,richmond.williamson@romaguera.net,Mr,College of Health Sciences,BSED,KINESIOLOGY,2007,2003,,Customer Support,,1985-02-26 00:00:00,Women's Tennis,,,,Cell(s) contains N/A value
58,Harper,Tapia,richmond.williamson@romaguera.net,Mr,College of Health Sciences,BSED,KINESIOLOGY,2007,2003,,Customer Support,,1985-02-26 00:00:00,Women's Tennis,,,,Wrong Format of Date of Birth
58,Harper,Tapia,richmond.williamson@romaguera.net,Mr,College of Health Sciences,BSED,KINESIOLOGY,2007,2003,,Customer Support,,1985-02-26 00:00:00,Women's Tennis,,,,Name of the Club is not listed in Sports Club sheet
58,Harper,Tapia,richmond.williamson@romaguera.net,Mr,College of Health Sciences,BSED,KINESIOLOGY,2007,2003,,Customer Support,,1985-02-26 00:00:00,Women's Tennis,,,,Employer Name is Empty even when Job Domain or Job Title is given
59,Ethan,Wood,raynor.kali@braun.net,Mr,College of Business Administration,BBA,PRE BUSINESS,2005,2001,Adecco,Home Maker,,1985-02-19 00:00:00,,,,,Cell(s) contains N/A value
59,Ethan,Wood,raynor.kali@braun.net,Mr,College of Business Administration,BBA,PRE BUSINESS,2005,2001,Adecco,Home Maker,,1985-02-19 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
59,Ethan,Wood,raynor.kali@braun.net,Mr,College of Business Administration,BBA,PRE BUSINESS,2005,2001,Adecco,Home Maker,,1985-02-19 00:00:00,,,,,Wrong Format of Date of Birth
59,Ethan,Wood,raynor.kali@braun.net,Mr,College of Business Administration,BBA,PRE BUSINESS,2005,2001,Adecco,Home Maker,,1985-02-19 00:00:00,,,,,Contains duplicate Email
60,Rachel,Frederick,armando73@gmail.com,Dr,College of Business Administration,BBA,PRE BUSINESS,2007,2003,,,,19-12-1998,,,,,Name of the Club is not listed in Sports Club sheet
60,Rachel,Frederick,armando73@gmail.com,Dr,College of Business Administration,BBA,PRE BUSINESS,2007,2003,,,,19-12-1998,,,,,Cell(s) contains N/A value
61,Nehemiah,Delacruz,tbotsford@mills.com,Dr,College of Business Administration,BBA,PRE BUSINESS,1014,2010,The Bowdoin Group,Senior Consultant,Software,1985-02-20 00:00:00,Women's Riflery,,,,Name of the Club is not listed in Sports Club sheet
61,Nehemiah,Delacruz,tbotsford@mills.com,Dr,College of Business Administration,BBA,PRE BUSINESS,1014,2010,The Bowdoin Group,Senior Consultant,Software,1985-02-20 00:00:00,Women's Riflery,,,,Cell(s) contains N/A value
61,Nehemiah,Delacruz,tbotsford@mills.com,Dr,College of Business Administration,BBA,PRE BUSINESS,1014,2010,The Bowdoin Group,Senior Consultant,Software,1985-02-20 00:00:00,Women's Riflery,,,,Wrong Format of Date of Birth
62,Parker,Rivas,skyla87@hotmail.com,Mr,College of Business Administration,BBA,FINANCE,2005,2001,Harvard Medical School-Department of Cell Biology,Postdoctoral Fellow,Science,1985-02-10 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
62,Parker,Rivas,skyla87@hotmail.com,Mr,College of Business Administration,BBA,FINANCE,2005,2001,Harvard Medical School-Department of Cell Biology,Postdoctoral Fellow,Science,1985-02-10 00:00:00,,,,,Cell(s) contains N/A value
62,Parker,Rivas,skyla87@hotmail.com,Mr,College of Business Administration,BBA,FINANCE,2005,2001,Harvard Medical School-Department of Cell Biology,Postdoctoral Fellow,Science,1985-02-10 00:00:00,,,,,Wrong Format of Date of Birth
63,Brady,Banks,ikohler@yahoo.com,Mr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2005,2001,Abington Junior High School,Paraprofessional,Education,1988-04-24 00:00:00,Women's Gymnastics,,,,Name of the Club is not listed in Sports Club sheet
63,Brady,Banks,ikohler@yahoo.com,Mr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2005,2001,Abington Junior High School,Paraprofessional,Education,1988-04-24 00:00:00,Women's Gymnastics,,,,Cell(s) contains N/A value
63,Brady,Banks,ikohler@yahoo.com,Mr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2005,2001,Abington Junior High School,Paraprofessional,Education,1988-04-24 00:00:00,Women's Gymnastics,,,,Wrong Format of Date of Birth
64,Andres,Ritter,danika.mertz@yahoo.com,Mr,College of Business Administration,BA,MARKETING,1014,2010,The Davis Company,Property Accountant,,1988-04-02 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
64,Andres,Ritter,danika.mertz@yahoo.com,Mr,College of Business Administration,BA,MARKETING,1014,2010,The Davis Company,Property Accountant,,1988-04-02 00:00:00,,,,,Cell(s) contains N/A value
64,Andres,Ritter,danika.mertz@yahoo.com,Mr,College of Business Administration,BA,MARKETING,1014,2010,The Davis Company,Property Accountant,,1988-04-02 00:00:00,,,,,Wrong Format of Date of Birth
65,Declan,Ramos,hegmann.rhett@yahoo.com,Mr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1014,2010,Grafton Public Schools,7th grade Social Studies Teacher,Education / Junior High,1988-04-18 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
65,Declan,Ramos,hegmann.rhett@yahoo.com,Mr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1014,2010,Grafton Public Schools,7th grade Social Studies Teacher,Education / Junior High,1988-04-18 00:00:00,,,,,Cell(s) contains N/A value
65,Declan,Ramos,hegmann.rhett@yahoo.com,Mr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1014,2010,Grafton Public Schools,7th grade Social Studies Teacher,Education / Junior High,1988-04-18 00:00:00,,,,,Wrong Format of Date of Birth
66,Cheyenne,George,ztillman@erdman.net,Lt Col,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,Germaine Lawrence,,Counseling,1988-04-29 00:00:00,Women's Soccer,,,,Name of the Club is not listed in Sports Club sheet
66,Cheyenne,George,ztillman@erdman.net,Lt Col,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,Germaine Lawrence,,Counseling,1988-04-29 00:00:00,Women's Soccer,,,,Cell(s) contains N/A value
66,Cheyenne,George,ztillman@erdman.net,Lt Col,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,Germaine Lawrence,,Counseling,1988-04-29 00:00:00,Women's Soccer,,,,Wrong Format of Date of Birth
67,Mollie,Myers,josianne38@heidenreich.com,Ms,College of Business Administration,BBA,FINANCE,2007,2003,,President,,1988-04-14 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
67,Mollie,Myers,josianne38@heidenreich.com,Ms,College of Business Administration,BBA,FINANCE,2007,2003,,President,,1988-04-14 00:00:00,,,,,Cell(s) contains N/A value
67,Mollie,Myers,josianne38@heidenreich.com,Ms,College of Business Administration,BBA,FINANCE,2007,2003,,President,,1988-04-14 00:00:00,,,,,Employer Name is Empty even when Job Domain or Job Title is given
67,Mollie,Myers,josianne38@heidenreich.com,Ms,College of Business Administration,BBA,FINANCE,2007,2003,,President,,1988-04-14 00:00:00,,,,,Wrong Format of Date of Birth
68,Lillie,Brady,trippin@boyle.org,Captain,College of Business Administration,MBA,COMBINED MBA/MPA,2005,2001,Paymentech Inc.,Acct.,,1988-04-11 00:00:00,,,,,Wrong Format of Date of Birth
68,Lillie,Brady,trippin@boyle.org,Captain,College of Business Administration,MBA,COMBINED MBA/MPA,2005,2001,Paymentech Inc.,Acct.,,1988-04-11 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
68,Lillie,Brady,trippin@boyle.org,Captain,College of Business Administration,MBA,COMBINED MBA/MPA,2005,2001,Paymentech Inc.,Acct.,,1988-04-11 00:00:00,,,,,Cell(s) contains N/A value
69,Adonis,Sosa,stokes.matilda@yahoo.com,Ms,College of Business Administration,BA,MARKETING,2007,2003,Cape Cod Hospital,Director/Critical Pathways/Caremaps,Healthcare,1988-04-20 00:00:00,Men's Golf,,,,Name of the Club is not listed in Sports Club sheet
69,Adonis,Sosa,stokes.matilda@yahoo.com,Ms,College of Business Administration,BA,MARKETING,2007,2003,Cape Cod Hospital,Director/Critical Pathways/Caremaps,Healthcare,1988-04-20 00:00:00,Men's Golf,,,,Cell(s) contains N/A value
69,Adonis,Sosa,stokes.matilda@yahoo.com,Ms,College of Business Administration,BA,MARKETING,2007,2003,Cape Cod Hospital,Director/Critical Pathways/Caremaps,Healthcare,1988-04-20 00:00:00,Men's Golf,,,,Wrong Format of Date of Birth
70,Azaria,Andrade,eliezer.kling@@hermann.info,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2003,1099,Down East Autobody,Office Manager,Automotive,April-1988,,,,,Cell(s) contains N/A value
70,Azaria,Andrade,eliezer.kling@@hermann.info,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2003,1099,Down East Autobody,Office Manager,Automotive,April-1988,,,,,Wrong Format of Email Address
70,Azaria,Andrade,eliezer.kling@@hermann.info,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2003,1099,Down East Autobody,Office Manager,Automotive,April-1988,,,,,Wrong Format of Date of Birth
70,Azaria,Andrade,eliezer.kling@@hermann.info,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2003,1099,Down East Autobody,Office Manager,Automotive,April-1988,,,,,Name of the Club is not listed in Sports Club sheet
71,Reagan,Ellis,flo75@yahoo.com,Mrs,College of Business Administration,BBA,PRE BUSINESS,2001,1997,Keene HS,Math Tchr.,Education / High School,1988-04-21 00:00:00,Women's Gymnastics,,,,Cell(s) contains N/A value
71,Reagan,Ellis,flo75@yahoo.com,Mrs,College of Business Administration,BBA,PRE BUSINESS,2001,1997,Keene HS,Math Tchr.,Education / High School,1988-04-21 00:00:00,Women's Gymnastics,,,,Name of the Club is not listed in Sports Club sheet
71,Reagan,Ellis,flo75@yahoo.com,Mrs,College of Business Administration,BBA,PRE BUSINESS,2001,1997,Keene HS,Math Tchr.,Education / High School,1988-04-21 00:00:00,Women's Gymnastics,,,,Wrong Format of Date of Birth
72,Amelie,Hooper,rickey.predovic@weimann.com,Ms,College of Business Administration,BBA,PRE BUSINESS,2007,2003,Meridian Capital Markets,Finacial Services,Real Estate,1990-02-12 00:00:00,,,,,Wrong Format of Date of Birth
72,Amelie,Hooper,rickey.predovic@weimann.com,Ms,College of Business Administration,BBA,PRE BUSINESS,2007,2003,Meridian Capital Markets,Finacial Services,Real Estate,1990-02-12 00:00:00,,,,,Cell(s) contains N/A value
72,Amelie,Hooper,rickey.predovic@weimann.com,Ms,College of Business Administration,BBA,PRE BUSINESS,2007,2003,Meridian Capital Markets,Finacial Services,Real Estate,1990-02-12 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
73,Hallie,Ramirez,kimberly22@gmail.com,Mrs,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2003,1099,Rockland Trust Company,"Senior VP/Regional Manager, Corporate Banking",,1988-04-21 00:00:00,Women's Tennis,,,,Cell(s) contains N/A value
73,Hallie,Ramirez,kimberly22@gmail.com,Mrs,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2003,1099,Rockland Trust Company,"Senior VP/Regional Manager, Corporate Banking",,1988-04-21 00:00:00,Women's Tennis,,,,Name of the Club is not listed in Sports Club sheet
73,Hallie,Ramirez,kimberly22@gmail.com,Mrs,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2003,1099,Rockland Trust Company,"Senior VP/Regional Manager, Corporate Banking",,1988-04-21 00:00:00,Women's Tennis,,,,Wrong Format of Date of Birth
74,Cory,Becker,acrona@fahey,Dr,College of Business Administration,BBA,PRE BUSINESS,1999,1095,Massachusetts Maritime Academy,,Government/State,2000,,,,,Wrong Format of Date of Birth
74,Cory,Becker,acrona@fahey,Dr,College of Business Administration,BBA,PRE BUSINESS,1999,1095,Massachusetts Maritime Academy,,Government/State,2000,,,,,Name of the Club is not listed in Sports Club sheet
74,Cory,Becker,acrona@fahey,Dr,College of Business Administration,BBA,PRE BUSINESS,1999,1095,Massachusetts Maritime Academy,,Government/State,2000,,,,,Cell(s) contains N/A value
75,Amelie,Stewart,cpurdy@kessler.com,Senator,College of Business Administration,BA,GENERAL BUSINESS,1014,2010,The Hartford Financial Svcs. Grp.,"Mgr., Assumed Reinsurance Claims",Insurance,1988-04-11 00:00:00,,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
75,Amelie,Stewart,cpurdy@kessler.com,Senator,College of Business Administration,BA,GENERAL BUSINESS,1014,2010,The Hartford Financial Svcs. Grp.,"Mgr., Assumed Reinsurance Claims",Insurance,1988-04-11 00:00:00,,,,,Cell(s) contains N/A value
75,Amelie,Stewart,cpurdy@kessler.com,Senator,College of Business Administration,BA,GENERAL BUSINESS,1014,2010,The Hartford Financial Svcs. Grp.,"Mgr., Assumed Reinsurance Claims",Insurance,1988-04-11 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
75,Amelie,Stewart,cpurdy@kessler.com,Senator,College of Business Administration,BA,GENERAL BUSINESS,1014,2010,The Hartford Financial Svcs. Grp.,"Mgr., Assumed Reinsurance Claims",Insurance,1988-04-11 00:00:00,,,,,Wrong Format of Date of Birth
76,Aleah,Wang,vfisher,General,College of Education,BA,COUNSELING,1002,1998,Sun Coast Inc.,,Finance/Banking/Credit,1988-04-07 00:00:00,Men's Cross Country,,,,Name of the Club is not listed in Sports Club sheet
76,Aleah,Wang,vfisher,General,College of Education,BA,COUNSELING,1002,1998,Sun Coast Inc.,,Finance/Banking/Credit,1988-04-07 00:00:00,Men's Cross Country,,,,Wrong Format of Email Address
76,Aleah,Wang,vfisher,General,College of Education,BA,COUNSELING,1002,1998,Sun Coast Inc.,,Finance/Banking/Credit,1988-04-07 00:00:00,Men's Cross Country,,,,Cell(s) contains N/A value
76,Aleah,Wang,vfisher,General,College of Education,BA,COUNSELING,1002,1998,Sun Coast Inc.,,Finance/Banking/Credit,1988-04-07 00:00:00,Men's Cross Country,,,,Wrong Format of Date of Birth
77,Ashlynn,Mullen,omari.mccullough@koss.com,Ms,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,1002,1998,Managed Healthcare Ltd.,"Retired, President/ CEO",Healthcare,1990-09-18 00:00:00,,,,,Cell(s) contains N/A value
77,Ashlynn,Mullen,omari.mccullough@koss.com,Ms,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,1002,1998,Managed Healthcare Ltd.,"Retired, President/ CEO",Healthcare,1990-09-18 00:00:00,,,,,Wrong Format of Date of Birth
77,Ashlynn,Mullen,omari.mccullough@koss.com,Ms,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,1002,1998,Managed Healthcare Ltd.,"Retired, President/ CEO",Healthcare,1990-09-18 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
78,Sarah,Mcgrath,ycruickshank@hartmann.net,Ms,College of Health Sciences,BS,SPCH/HEARING/LANG DI,2003,1099,,Healthcare,,1988-04-27 00:00:00,,,,,Employer Name is Empty even when Job Domain or Job Title is given
78,Sarah,Mcgrath,ycruickshank@hartmann.net,Ms,College of Health Sciences,BS,SPCH/HEARING/LANG DI,2003,1099,,Healthcare,,1988-04-27 00:00:00,,,,,Wrong Format of Date of Birth
78,Sarah,Mcgrath,ycruickshank@hartmann.net,Ms,College of Health Sciences,BS,SPCH/HEARING/LANG DI,2003,1099,,Healthcare,,1988-04-27 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
78,Sarah,Mcgrath,ycruickshank@hartmann.net,Ms,College of Health Sciences,BS,SPCH/HEARING/LANG DI,2003,1099,,Healthcare,,1988-04-27 00:00:00,,,,,Cell(s) contains N/A value
79,,Sheppard,destini50@beier.com,Ms,College of Business Administration,BA,BUSINESS ADMINISTRATION,2003,1099,"Convexity Capital Management, LP",Director of Client Services,,1988-04-25 00:00:00,,,,,Wrong Format of Date of Birth
79,,Sheppard,destini50@beier.com,Ms,College of Business Administration,BA,BUSINESS ADMINISTRATION,2003,1099,"Convexity Capital Management, LP",Director of Client Services,,1988-04-25 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
79,,Sheppard,destini50@beier.com,Ms,College of Business Administration,BA,BUSINESS ADMINISTRATION,2003,1099,"Convexity Capital Management, LP",Director of Client Services,,1988-04-25 00:00:00,,,,,Either First Name or Last Name is Blank
79,,Sheppard,destini50@beier.com,Ms,College of Business Administration,BA,BUSINESS ADMINISTRATION,2003,1099,"Convexity Capital Management, LP",Director of Client Services,,1988-04-25 00:00:00,,,,,Cell(s) contains N/A value
80,Alisha,Whitehead,ztillman@erdman.net,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,Ohaus Corp.,,Corporate Business,1988-04-29 00:00:00,Women's Gymnastics,,,,Wrong Format of Date of Birth
80,Alisha,Whitehead,ztillman@erdman.net,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,Ohaus Corp.,,Corporate Business,1988-04-29 00:00:00,Women's Gymnastics,,,,Contains duplicate Email
80,Alisha,Whitehead,ztillman@erdman.net,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,Ohaus Corp.,,Corporate Business,1988-04-29 00:00:00,Women's Gymnastics,,,,Cell(s) contains N/A value
80,Alisha,Whitehead,ztillman@erdman.net,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,Ohaus Corp.,,Corporate Business,1988-04-29 00:00:00,Women's Gymnastics,,,,Name of the Club is not listed in Sports Club sheet
81,Cornelius,Dixon,nigel28@yahoo.com,General,College of Business Administration,BBA,FINANCE,1002,1998,na,,Healthcare,1988-04-04 00:00:00,,,,,Wrong Format of Date of Birth
81,Cornelius,Dixon,nigel28@yahoo.com,General,College of Business Administration,BBA,FINANCE,1002,1998,na,,Healthcare,1988-04-04 00:00:00,,,,,Cell(s) contains N/A value
81,Cornelius,Dixon,nigel28@yahoo.com,General,College of Business Administration,BBA,FINANCE,1002,1998,na,,Healthcare,1988-04-04 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
82,Maeve,Chaney,ora.reichel@gmail.com,Dr,College of Business Administration,BBA,FINANCE,2003,1099,Hogan Eye Associates,,Healthcare,2003,,,,,Wrong Format of Date of Birth
82,Maeve,Chaney,ora.reichel@gmail.com,Dr,College of Business Administration,BBA,FINANCE,2003,1099,Hogan Eye Associates,,Healthcare,2003,,,,,Name of the Club is not listed in Sports Club sheet
82,Maeve,Chaney,ora.reichel@gmail.com,Dr,College of Business Administration,BBA,FINANCE,2003,1099,Hogan Eye Associates,,Healthcare,2003,,,,,Cell(s) contains N/A value
83,Josh,Shaw,vkling@upton.com,Mr,College of Business Administration,BA,MARKETING,2007,2003,,,,1988-04-26 00:00:00,,,,,Cell(s) contains N/A value
83,Josh,Shaw,vkling@upton.com,Mr,College of Business Administration,BA,MARKETING,2007,2003,,,,1988-04-26 00:00:00,,,,,Wrong Format of Date of Birth
83,Josh,Shaw,vkling@upton.com,Mr,College of Business Administration,BA,MARKETING,2007,2003,,,,1988-04-26 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
84,Blaze,Hunter,tiffany.ledner@goyette.com,General,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2003,1099,Boch Honda,Sales Mgr.,,1988-04-30 00:00:00,,,,,Wrong Format of Date of Birth
84,Blaze,Hunter,tiffany.ledner@goyette.com,General,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2003,1099,Boch Honda,Sales Mgr.,,1988-04-30 00:00:00,,,,,Cell(s) contains N/A value
84,Blaze,Hunter,tiffany.ledner@goyette.com,General,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2003,1099,Boch Honda,Sales Mgr.,,1988-04-30 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
85,Kian,Weber,ulangworth.com,Mrs,College of Business Administration,BBA,Information systems,1002,1998,Charters Ins.,Asst. Chief Counsel,Insurance,1988-04-23 00:00:00,,,,,Cell(s) contains N/A value
85,Kian,Weber,ulangworth.com,Mrs,College of Business Administration,BBA,Information systems,1002,1998,Charters Ins.,Asst. Chief Counsel,Insurance,1988-04-23 00:00:00,,,,,Wrong Format of Email Address
85,Kian,Weber,ulangworth.com,Mrs,College of Business Administration,BBA,Information systems,1002,1998,Charters Ins.,Asst. Chief Counsel,Insurance,1988-04-23 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
85,Kian,Weber,ulangworth.com,Mrs,College of Business Administration,BBA,Information systems,1002,1998,Charters Ins.,Asst. Chief Counsel,Insurance,1988-04-23 00:00:00,,,,,Wrong Format of Date of Birth
86,,Henderson,glenda.turner@tromp.biz,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,,Natl. Sales Mgr.,Industry Unknown,1988-04-12 00:00:00,Men's Baseball,,,,Cell(s) contains N/A value
86,,Henderson,glenda.turner@tromp.biz,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,,Natl. Sales Mgr.,Industry Unknown,1988-04-12 00:00:00,Men's Baseball,,,,Either First Name or Last Name is Blank
86,,Henderson,glenda.turner@tromp.biz,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,,Natl. Sales Mgr.,Industry Unknown,1988-04-12 00:00:00,Men's Baseball,,,,Employer Name is Empty even when Job Domain or Job Title is given
86,,Henderson,glenda.turner@tromp.biz,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,,Natl. Sales Mgr.,Industry Unknown,1988-04-12 00:00:00,Men's Baseball,,,,Wrong Format of Date of Birth
86,,Henderson,glenda.turner@tromp.biz,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,,Natl. Sales Mgr.,Industry Unknown,1988-04-12 00:00:00,Men's Baseball,,,,Name of the Club is not listed in Sports Club sheet
87,Dwayne,Ford,cruz95@gmail.com,Mr,College of Business Administration,BBA,PRE BUSINESS,2000,1996,,QA Testing,Information Technology,1988-04-22 00:00:00,,,,,Employer Name is Empty even when Job Domain or Job Title is given
87,Dwayne,Ford,cruz95@gmail.com,Mr,College of Business Administration,BBA,PRE BUSINESS,2000,1996,,QA Testing,Information Technology,1988-04-22 00:00:00,,,,,Wrong Format of Date of Birth
